ingredient_id,ingredient_type,ingredient_sv,ingredient_en,vol_smoothie,vol_juice,selling_price,image
1,fruit,banan, banana,80,0,8,../images/banana.png
2,fruit,citron,lemon,40,30,8,../images/banana.png
3,fruit,lime,lime,30,20,8,../images/banana.png
4,fruit,apelsin,orange,100,80,7,../images/orange.png
5,fruit,kaffe,coffee,50,50,5,../images/orange.png
6,fruit,vanilla ice cream,vanilla ice cream,50,50,5,../images/orange.png
7,fruit,sodavatten,soda water,50,50,4,../images/orange.png
8,fruit,vatten,water,50,50,0,../images/orange.png
9,fruit,is,ice,50,50,1,../images/orange.png
10,fruit,guava,guava,10,10,10,../images/orange.png
11,fruit,grönkål,kale,50,20,5,../images/orange.png
12,vegetable,morot,carrot,50,30,5,../images/carrot.png
13,vegetable,ingefära,ginger,10,5,5,../images/carrot.png
14,vegetable,chili,chili,5,5,5,../images/carrot.png
15,vegetable,kanel,cinnamon,1,1,1,../images/carrot.png
16,vegetable,kakao,cocoa,10,10,5,../images/carrot.png
17,vegetable,äpple,apple,100,60,8,../images/apple.png
18,vegetable,päron,pear,100,0,10,../images/apple.png
19,vegetable,ananas,pineapple,100,80,12,../images/apple.png
20,vegetable,katrinplommon,prune,20,0,3,../images/apple.png
21,other,blåbär,blueberry,30,30,5,../images/apple.png
22,other,hallon,raspberry,30,30,5,../images/apple.png
23,other,jordgubbe,strawberry,30,30,5,../images/strawberry.png
24,other,pumpa,pumpkin,50,0,7,../images/strawberry.png
25,other,selleri,celery,20,0,3,../images/strawberry.png
26,other,mango,mango,100,0,20,../images/strawberry.png
27,other,grapefrukt,grapefruit,200,170,17,../images/strawberry.png
28,other,druva,grape,50,50,12,../images/strawberry.png
29,other,spenat,spinach,50,0,9,../images/strawberry.png
30,other,rödbeta,beet,100,0,5,../images/strawberry.png
31,other,mjölk,milk,50,50,5,../images/strawberry.png
32,other,sojadryck,soy milk,50,50,7,../images/strawberry.png
